time,relative_humidity_2m,temperature_2m,wind_speed_10m,dew_yield
2020-01-01 00:00:00,89.0,9.2,17.0,0.0
2020-01-01 01:00:00,90.0,8.8,16.8,0.0
2020-01-01 02:00:00,91.0,8.6,16.6,0.0
2020-01-01 03:00:00,92.0,8.4,16.3,0.0
2020-01-01 22:00:00,91.0,8.8,8.2,0.75
2020-01-01 23:00:00,92.0,8.1,8.4,0.75
2020-01-02 00:00:00,92.0,8.7,8.4,0.75
2020-01-02 01:00:00,92.0,8.5,9.2,0.75
2020-01-02 02:00:00,93.0,8.3,9.8,0.75
2020-01-02 03:00:00,93.0,8.0,9.4,0.75
2020-01-02 22:00:00,92.0,9.3,7.1,0.75
2020-01-02 23:00:00,95.0,8.9,8.7,0.75
2020-01-03 00:00:00,98.0,8.5,8.6,0.75
2020-01-03 01:00:00,100.0,7.8,7.4,0.75
2020-01-03 02:00:00,100.0,7.5,6.9,0.75
2020-01-03 03:00:00,100.0,7.4,6.5,0.75
2020-01-03 22:00:00,95.0,8.8,7.6,0.75
2020-01-03 23:00:00,96.0,8.7,6.9,0.75
2020-01-04 00:00:00,92.0,9.8,5.8,0.75
2020-01-04 01:00:00,91.0,10.0,4.0,0.75
2020-01-04 02:00:00,85.0,10.9,0.8,0.75
2020-01-04 03:00:00,84.0,10.9,1.1,0.75
2020-01-04 22:00:00,94.0,7.7,7.7,0.75
2020-01-04 23:00:00,97.0,6.8,6.6,0.75
2020-01-05 00:00:00,96.0,7.1,8.2,0.75
2020-01-05 01:00:00,97.0,6.4,8.1,0.75
2020-01-05 02:00:00,98.0,6.0,7.4,0.75
2020-01-05 03:00:00,99.0,5.7,7.4,0.75
2020-01-05 22:00:00,89.0,8.2,10.3,0.75
2020-01-05 23:00:00,89.0,8.0,10.0,0.75
2020-01-06 00:00:00,90.0,7.9,8.7,0.75
2020-01-06 01:00:00,90.0,7.8,8.1,0.75
2020-01-06 02:00:00,91.0,7.3,8.8,0.75
2020-01-06 03:00:00,92.0,7.2,8.4,0.75
2020-01-06 22:00:00,93.0,8.9,5.9,0.75
2020-01-06 23:00:00,92.0,9.0,5.5,0.75
